Zusammenfassung
Ort;Ohne Baufreigabe;Noch zu bauen;Noch zu montieren;In Betrieb zu nehmen
Sundern;384;0;8;39

Datensätze (Ortsfilter)
CS-ID;Projektkenner;PLZ;Ort;Ortsteil;Straße;Hausnummer;Zusatz;Baufreigabe;HA-Status;Betriebsstatus;HA gebaut am (CL);ONT gebaut am / Montage (AC);Verfügbar ab (AT);Wohneinheiten;Home-IDs;ONT-Seriennummern;Tiefbau;Montagefirma;NVT-Nr;NVT-Nr (gebaut);Rohrfarbe;Strangfarbe;NE4;wohneinheiten_anzahl_montage;ont_typ_we_1;rasternummer_ha_kasette;apl_kabeltyp;kabellaenge_ha_nvt;splitternummer_mux_we_1;barcode_ont_we_1;home_id_ont_we_1;splitternummer_mux_we_2;barcode_ont_we_2;home_id_ont_we_2;splitternummer_mux_we_3;barcode_ont_we_3;home_id_ont_we_3;splitternummer_mux_we_4;barcode_ont_we_4;home_id_ont_we_4;splitternummer_mux_we_5;barcode_ont_we_5;home_id_ont_we_5;splitternummer_mux_we_6;barcode_ont_we_6;home_id_ont_we_6;splitternummer_mux_we_7;barcode_ont_we_7;home_id_ont_we_7;splitternummer_mux_we_8;barcode_ont_we_8;home_id_ont_we_8;splitternummer_mux_we_9;barcode_ont_we_9;home_id_ont_we_9;splitternummer_mux_we_10;barcode_ont_we_10;home_id_ont_we_10;splitternummer_mux_we_11;barcode_ont_we_11;home_id_ont_we_11;splitternummer_mux_we_12;barcode_ont_we_12;home_id_ont_we_12;ONT Datum;APL Datum;ha_gebaut;bemerkungsfeld_des_ont;Offene Stufe
HA213739;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Langscheider Straße;24;a;JA;HA betriebsbereit;homesConnected;01.06.2025;09.12.2025;08.03.2026;1;W00R624E;ALCLFDEE9D5C;Albatrosbau;Albatrosbau;868;868;violett (8);gruen;;1;Nokia G-010G-R ONT;10;1x12;151;1;ALCLFDEE9D5C;W00R624E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09.12.2025;09.12.2025;01.06.2025;;Betriebsbereit
HA213388;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Am Hesslieth;7;;JA;HA betriebsbereit;homesConnected;11.06.2025;12.11.2025;28.01.2026;2;W00R63YW | W00R63XR;ALCLFDEEB762 | ALCLFDEEB743;Albatrosbau;Albatrosbau;870;870;violett (8);rot;;2;Nokia G-010G-R ONT;34;1x12;320;2;ALCLFDEEB762;W00R63YW;2;ALCLFDEEB743;W00R63XR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.11.2025;12.11.2025;11.06.2025;;Betriebsbereit
HA219496;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Hakenbrinkweg;2;;JA;HA betriebsbereit;homesConnected;23.09.2025;09.10.2025;28.01.2026;1;W00R6APF;ALCLFD881159;Albatrosbau;Albatrosbau;869;869;weiß_strich (17);blau;;1;Nokia G-010G-R ONT;1;1x12;385;1;ALCLFD881159;W00R6APF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09.10.2025;09.10.2025;23.09.2025;;Betriebsbereit
HA213477;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Brunnenstraße;53;;JA;HA betriebsbereit;homesConnected;06.10.2024;03.02.2026;09.03.2026;1;W00MZEV2;ALCLFDF4433A;Albatrosbau;Albatrosbau;868;868;weiß (5);blau;;1;Nokia G-010G-R ONT;18;1x12;190;1;ALCLFDF4433A;W00MZEV2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03.02.2026;03.02.2026;06.10.2024;;Betriebsbereit
HA213490;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Brunnenstraße;79;;JA;HA betriebsbereit;homesConnected;05.06.2025;09.10.2025;28.01.2026;1;W00R8W01;ALCLFD8811C2;Albatrosbau;Albatrosbau;869;869;orange (11);gruen;;1;Nokia G-010G-R ONT;46;1x12;299;2;ALCLFD8811C2;W00R8W01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09.10.2025;09.10.2025;05.06.2025;;Betriebsbereit
HA213909;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Schwalbenweg;10;;JA;HA betriebsbereit;homesConnected;29.06.2025;16.10.2025;27.02.2026;1;W00R6CDK;ALCLFDE6D9DA;Albatrosbau;Albatrosbau;871;871;braun (7);gruen;;1;Nokia G-010G-R ONT;17;1x12;217;1;ALCLFDE6D9DA;W00R6CDK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.10.2025;16.10.2025;29.06.2025;;Betriebsbereit
HA213480;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Brunnenstraße;56;;JA;HA betriebsbereit;homesConnected;18.08.2025;14.10.2025;28.01.2026;1;W00R6CWY;ALCLFDE6A2AC;Albatrosbau;Albatrosbau;869;869;blau (3);rot;;1;Nokia G-010G-R ONT;30;1x12;184;2;ALCLFDE6A2AC;W00R6CWY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.10.2025;14.10.2025;18.08.2025;;Betriebsbereit
HA213471;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Brunnenstraße;47;;JA;HA betriebsbereit;homesConnected;29.05.2025;04.12.2025;08.03.2026;2;W00LWKWZ | W00LWKX2;ALCLFDF44432 | ALCLFDF44321;Albatrosbau;Albatrosbau;868;868;rot (1);blau;;2;Nokia G-010G-R ONT;41;1x12;122;3;ALCLFDF44432;W00LWKWZ;3;ALCLFDF44321;W00LWKX2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04.12.2025;04.12.2025;29.05.2025;;Betriebsbereit
HA213801;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Meisenweg;14;;NEIN;Keine Baufreigabe;homesPassed;;;30.07.2025;;;;Albatrosbau;Albatrosbau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ohne Baufreigabe
HA214044;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Langscheider Straße;54;;JA;HA betriebsbereit;homesConnected;07.05.2023;12.02.2026;09.03.2026;3;W00ME2PV | W00ME2RY | W00ME2T1;ALCLFDEE9FE7 | ALCLFDEEA01F | ALCLFDEE9F8D;Albatrosbau;Albatrosbau;865;865;rosa (12);blau;;3;Nokia G-010G-R ONT;50;1x12;460;4;ALCLFDEE9FE7;W00ME2PV;4;ALCLFDEEA01F;W00ME2RY;4;ALCLFDEE9F8D;W00ME2T1;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.02.2026;12.02.2026;07.05.2023;;Betriebsbereit
